"vot"
30
31
63
21
26
49
32
39
33
26
25
25
33
70
50
24
48
54
33
18
33
27
28
29
34
39
26
60
50
48
52
33
25
43
43
18
68
46
80
42
46
26
23
41
38
13
43
28
41
31
28
22
83
41
41
47
32
11
23
39
31
43
28
32
39
33
34
29
10
31
30
34
31
83
38
36
54
32
39
36
25
40
53
27
43
28
28
29
11
28
50
53
28
63
24
28
28
21
31
32
31
28
13
24
64
35
25
21
53
65
31
21
26
28
26
26
24
28
42
50
28
56
45
49
36
33
29
30
17
28
34
39
38
66
32
25
40
40
37
39
17
25
25
34
51
20
24
21
27
57
19
48
30
19
28
21
27
28
21
79
29
24
31
37
34
41
32
34
25
28
36
25
36
25
37
34
51
33
15
40
35
70
54
41
26
18
36
18
21
39
72
23
34
34
36
28
29
15
30
25
32
28
26
24
76
41
36
17
24
26
28
11
21
12
14
13
39
24
28
12
26
22
13
39
45
37
16
28
33
25
26
28
25
31
42
23
41
32
23
20
33
22
33
34
62
38
27
31
29
47
57
37
28
37
28
22
32
40
42
48
21
31
23
28
77
16
16
11
24
22
36
16
23
34
21
32
17
32
15
38
40
37
19
29
17
30
34
36
36
73
12
19
26
49
17
18
23
12
41
15
28
72
24
25
14
48
19
60
19
27
28
76
38
63
16
71
28
30
30
19
24
27
19
27
46
16
39
37
58
10
22
11
31
13
24
25
29
27
30
22
23
12
18
23
24
21
21
25
23
72
61
22
25
34
31
27
13
37
24
51
19
36
32
66
38
26
15
36
39
22
30
20
35
39
30
15
53
16
27
24
26
21
27
19
41
39
17
31
28
13
23
23
22
75
38
27
13
61
26
26
24
24
32
21
38
25
37
17
15
18
30
20
54
36
20
36
29
12
17
22
74
21
23
14
29
19
12
25
25
20
19
19
27
26
71
13
20
24
28
20
15
14
31
41
37
53
13
17
39
19
23
31
35
19
21
36
16
25
20
19
31
28
21
20
52
51
28
35
34
27
33
77
25
43
11
32
10
49
38
14
61
39
30
33
37
34
83
35
24
18
54
46
37
11
55
13
30
36
29
10
63
10
37
37
25
23
48
16
77
59
57
55
30
27
16
17
81
23
36
47
19
15
14
16
19
17
24
30
18
19
30
36
15
20
28
38
13
25
67
15
12
44
41
13
21
12
61
20
17
22
11
12
39
24
25
20
16
24
16
15
40
19
45
34
18
24
14
64
32
14
27
47
13
17
34
24
29
21
32
15
37
26
12
28
64
16
28
25
32
32
10
27
35
19
26
20
20
14
20
25
26
22
26
32
35
30
28
25
34
21
21
22
46
25
23
18
27
44
17
23
40
45
18
39
35
60
18
28
26
14
24
33
14
