phone,minTime,maxTime,k total,kw total,g total,gw total
g,31.529,31.629,,,,
g,33.579,33.659,,,,
g,56.0,56.06,,,,
g,83.111,83.171,,,,
g,83.391,83.461,,,,
g,85.623,85.663,,,,
g,89.423,89.463,,,,
g,92.016,92.076,,,,
k,93.766,93.796,,,,
g,96.961,96.991,,,,
g,104.447,104.487,,,,
g,107.347,107.397,,,,
g,107.737,107.787,,,,
k,113.548,113.648,,,,
g,113.818,113.868,,,,
g,122.821,122.861,,,,
k,123.671,123.731,,,,
g,124.621,124.681,,,,
g,131.387,131.437,,,,
g,133.317,133.347,,,,
k,135.597,135.627,,,,
g,135.687,135.717,,,,
g,140.463,140.523,,,,
g,141.713,141.803,,,,
g,145.783,145.833,,,,
k,146.183,146.243,,,,
g,146.913,146.983,,,,
k,147.373,147.413,,,,
g,147.573,147.603,,,,
g,157.359,157.419,,,,
g,157.999,158.069,,,,
g,158.219,158.259,,,,
g,158.949,159.019,,,,
g,164.778,164.868,,,,
g,164.958,165.058,,,,
k,166.848,166.878,,,,
g,167.028,167.068,,,,
g,170.139,170.179,,,,
g,171.649,171.719,,,,
g,174.959,174.989,,,,
k,176.259,176.339,,,,
k,176.929,176.959,,,,
k,177.649,177.679,,,,
k,182.297,182.327,,,,
k,183.487,183.537,,,,
g,187.638,187.668,,,,
g,197.562,197.642,,,,
g,220.391,220.421,,,,
gw,223.235,223.265,,,,
k,254.431,254.471,,,,
g,257.657,257.717,,,,
k,258.747,258.777,,,,
g,259.877,259.927,,,,
k,262.913,262.943,,,,
g,263.483,263.543,,,,
g,264.143,264.263,,,,
g,281.397,281.507,,,,
g,290.217,290.347,,,,
gw,304.116,304.186,,,,
g,305.066,305.116,,,,
g,318.937,319.027,,,,
g,319.167,319.257,,,,
g,345.756,345.786,,,,
k,348.546,348.616,,,,
k,353.556,353.586,,,,
k,367.301,367.371,,,,
k,367.801,367.851,,,,
k,369.511,369.541,,,,
g,370.071,370.101,,,,
k,373.011,373.041,,,,
k,375.751,375.781,,,,
g,376.221,376.281,,,,
k,383.075,383.105,,,,
k,383.585,383.615,,,,
gw,391.514,391.584,,,,
g,392.364,392.404,,,,
gw,402.576,402.646,,,,
g,410.505,410.635,,,,
gw,413.315,413.415,,,,
g,416.797,416.837,,,,
g,433.917,433.947,,,,
k,454.543,454.573,,,,
g,463.11,463.21,,,,
g,465.15,465.25,,,,
g,488.096,488.146,,,,
g,489.106,489.196,,,,
g,490.186,490.236,,,,
k,490.446,490.476,,,,
k,492.803,492.863,,,,
k,513.411,513.441,,,,
g,513.701,513.811,,,,
g,517.981,518.021,,,,
g,530.061,530.121,,,,
g,530.641,530.681,,,,
g,542.438,542.518,,,,
g,542.638,542.688,,,,
g,549.753,549.793,,,,
g,566.387,566.417,,,,
g,569.997,570.027,,,,
g,576.63,576.75,,,,
g,579.06,579.14,,,,
g,591.352,591.502,,,,
g,591.862,591.892,,,,
gw,594.711,594.781,,,,
g,595.061,595.151,,,,
g,595.451,595.481,,,,
g,608.013,608.073,,,,
g,608.803,608.923,,,,
k,638.662,638.692,,,,
g,649.988,650.018,,,,
g,652.778,652.838,,,,
k,654.412,654.502,,,,
g,658.232,658.292,,,,
k,661.965,661.995,,,,
g,674.505,674.585,,,,
g,701.772,701.832,,,,
k,705.602,705.672,,,,
g,708.495,708.595,,,,
k,727.881,727.921,,,,
k,729.907,729.937,,,,
gw,740.467,740.517,,,,
g,741.827,741.897,,,,
g,744.052,744.092,,,,
g,746.268,746.298,,,,
g,754.591,754.621,,,,
g,766.01,766.08,,,,
k,767.44,767.47,,,,
g,768.19,768.24,,,,
g,772.702,772.732,,,,
g,773.262,773.302,,,,
gw,775.718,775.748,,,,
g,776.078,776.138,,,,
g,777.494,777.584,,,,
k,778.124,778.154,,,,
k,779.411,779.481,,,,
g,779.851,779.911,,,,
g,781.001,781.061,,,,
g,781.821,781.871,,,,
g,797.405,797.465,,,,
k,802.558,802.608,,,,
g,805.488,805.528,,,,
k,805.808,805.908,,,,
k,806.928,807.008,,,,
k,808.028,808.098,,,,
g,808.218,808.248,,,,
g,809.37,809.41,,,,
k,825.643,825.703,,,,
g,825.803,825.843,,,,
g,827.121,827.201,,,,
k,828.071,828.111,,,,
k,828.641,828.691,,,,
g,831.491,831.521,,,,
g,844.619,844.679,,,,
g,846.849,846.909,,,,
g,847.659,847.689,,,,
k,847.959,848.059,,,,
g,848.829,848.919,,,,
k,849.399,849.429,,,,
g,849.559,849.599,,,,
g,852.049,852.089,,,,
k,861.619,861.689,,,,
g,865.439,865.469,,,,
g,877.627,877.737,,,,
k,880.3,880.39,,,,
g,882.08,882.12,,,,
g,887.574,887.604,,,,
g,887.834,887.864,,,,
g,889.264,889.294,,,,
g,889.434,889.464,,,,
g,889.784,889.824,,,,
