phone,minTime,maxTime,k total,kw total,g total,gw total
K,20.126,20.256,,,,
G,21.416,21.476,,,,
K,45.808,45.908,,,,
K,51.522,51.662,,,,
K,53.082,53.162,,,,
K,55.152,55.272,,,,
K,75.342,75.432,,,,
G,108.61,108.67,,,,
G,123.96,124.05,,,,
K,127.14,127.24,,,,
K,151.604,151.644,,,,
K,166.62,166.71,,,,
K,168.06,168.14,,,,
G,168.7,168.79,,,,
G,169.5,169.59,,,,
K,187.304,187.364,,,,
G,188.134,188.184,,,,
K,194.13,194.24,,,,
K,195.51,195.59,,,,
G,196.36,196.42,,,,
G,197.08,197.18,,,,
K,199.647,199.747,,,,
G,201.027,201.137,,,,
G,203.597,203.667,,,,
G,203.907,203.957,,,,
K,204.147,204.177,,,,
K,216.458,216.498,,,,
K,217.338,217.408,,,,
K,222.078,222.118,,,,
G,222.438,222.488,,,,
G,235.326,235.396,,,,
G,245.864,245.924,,,,
G,255.95,255.99,,,,
G,256.72,256.82,,,,
K,265.426,265.496,,,,
K,316.514,316.564,,,,
K,332.671,332.751,,,,
K,336.531,336.651,,,,
G,337.091,337.171,,,,
G,346.454,346.524,,,,
K,356.752,356.812,,,,
K,364.866,364.986,,,,
G,386.718,386.778,,,,
G,391.141,391.221,,,,
G,392.191,392.271,,,,
K,393.311,393.411,,,,
G,395.411,395.471,,,,
G,400.039,400.069,,,,
K,402.339,402.399,,,,
K,402.569,402.629,,,,
G,405.398,405.468,,,,
G,405.718,405.778,,,,
K,409.068,409.118,,,,
K,419.328,419.418,,,,
K,420.978,421.018,,,,
K,425.409,425.509,,,,
K,427.099,427.189,,,,
K,429.669,429.799,,,,
K,430.229,430.319,,,,
K,433.834,433.944,,,,
K,435.134,435.254,,,,
K,438.724,438.784,,,,
K,442.252,442.342,,,,
K,442.892,442.952,,,,
K,447.262,447.322,,,,
G,451.772,451.822,,,,
K,457.569,457.639,,,,
K,459.979,460.079,,,,
G,480.713,480.773,,,,
K,483.903,483.933,,,,
G,498.276,498.366,,,,
K,505.416,505.516,,,,
K,514.281,514.351,,,,
K,515.611,515.681,,,,
K,519.668,519.728,,,,
G,520.858,520.988,,,,
K,531.532,531.642,,,,
K,533.063,533.143,,,,
K,534.373,534.433,,,,
G,540.551,540.601,,,,
K,542.941,542.991,,,,
K,551.384,551.474,,,,
K,553.234,553.324,,,,
K,554.974,555.074,,,,
G,557.737,557.817,,,,
G,570.707,570.807,,,,
G,570.907,570.937,,,,
K,573.717,573.807,,,,
K,574.057,574.127,,,,
K,575.287,575.357,,,,
G,580.548,580.618,,,,
G,589.028,589.058,,,,
K,596.381,596.471,,,,
K,598.637,598.717,,,,
G,600.657,600.727,,,,
K,601.757,601.827,,,,
K,608.336,608.366,,,,
K,624.985,625.055,,,,
K,636.719,636.779,,,,
K,643.484,643.604,,,,
K,646.854,646.924,,,,
G,663.804,663.944,,,,
K,673.768,673.858,,,,
K,699.583,699.653,,,,
K,700.103,700.173,,,,
K,700.603,700.713,,,,
K,708.378,708.438,,,,
K,708.988,709.068,,,,
K,709.648,709.698,,,,
G,728.57,728.65,,,,
K,742.695,742.745,,,,
K,745.965,746.035,,,,
K,747.455,747.585,,,,
G,747.905,747.975,,,,
G,750.085,750.125,,,,
K,765.83,765.89,,,,
K,769.12,769.28,,,,
K,770.44,770.59,,,,
K,772.653,772.713,,,,
K,774.733,774.783,,,,
K,776.053,776.143,,,,
K,776.703,776.793,,,,
K,788.71,788.82,,,,
K,788.89,788.97,,,,
