phone,minTime,maxTime,k total,kw total,g total,gw total
G,37.532,37.602,,,,
K,50.222,50.352,,,,
G,54.088,54.188,,,,
G,122.359,122.429,,,,
G,131.576,131.656,,,,
K,139.975,140.045,,,,
G,161.485,161.605,,,,
G,211.56,211.85,,,,
K,233.914,233.984,,,,
G,250.65,250.73,,,,
G,256.109,256.169,,,,
K,297.256,297.306,,,,
G,304.088,304.168,,,,
K,307.414,307.444,,,,
K,317.771,317.891,,,,
K,327.609,327.669,,,,
K,327.769,327.839,,,,
K,328.859,328.889,,,,
K,341.312,341.452,,,,
K,352.027,352.067,,,,
G,375.674,375.914,,,,
K,382.339,382.429,,,,
K,419.561,419.721,,,,
K,425.258,425.388,,,,
K,436.04,436.12,,,,
K,438.88,438.96,,,,
K,456.268,456.408,,,,
G,469.591,469.661,,,,
G,485.194,485.284,,,,
G,486.954,487.024,,,,
K,492.096,492.156,,,,
K,546.272,546.462,,,,
G,589.302,589.372,,,,
K,589.482,589.582,,,,
K,594.292,594.412,,,,
K,599.984,600.134,,,,
G,610.035,610.565,,,,
G,682.433,682.523,,,,
G,684.278,684.338,,,,
K,688.638,688.718,,,,
K,717.152,717.212,,,,
G,721.138,721.408,,,,
K,733.509,733.569,,,,
G,742.623,742.673,,,,
G,746.734,746.764,,,,
G,747.644,747.674,,,,
K,760.54,760.68,,,,
G,798.717,798.777,,,,
G,800.607,800.647,,,,
G,808.819,808.899,,,,
K,830.27,830.47,,,,
G,866.042,866.112,,,,
K,868.892,868.972,,,,
G,881.121,881.171,,,,
G,882.811,882.841,,,,
G,888.946,888.976,,,,
G,891.006,891.036,,,,
K,896.179,896.249,,,,
K,928.084,928.124,,,,
K,957.041,957.151,,,,
G,973.712,973.792,,,,
K,989.075,989.235,,,,
K,990.455,990.525,,,,
K,991.335,991.425,,,,
K,1000.952,1001.002,,,,
K,1014.544,1014.634,,,,
K,1036.208,1036.288,,,,
K,1039.648,1039.728,,,,
K,1067.152,1067.222,,,,
K,1073.217,1073.277,,,,
K,1145.667,1145.697,,,,
K,1150.44,1150.54,,,,
G,1201.923,1201.953,,,,
K,1211.027,1211.097,,,,
K,1218.328,1218.358,,,,
K,1241.884,1241.934,,,,
K,1244.014,1244.094,,,,
K,1253.696,1253.776,,,,
G,1264.088,1264.148,,,,
G,1266.438,1266.498,,,,
G,1273.381,1273.411,,,,
K,1306.611,1306.641,,,,
G,1324.287,1324.387,,,,
K,1349.567,1349.597,,,,
K,1373.409,1373.529,,,,
G,1387.863,1387.913,,,,
G,1391.613,1391.643,,,,
G,1391.753,1391.813,,,,
G,1413.105,1413.175,,,,
G,1466.159,1466.219,,,,
G,1468.869,1468.929,,,,
K,1469.779,1469.829,,,,
,,,51,0,41,0
