,speaker,language,phone,clip,vot_ms
183,VM21B,C,k,37,29
184,VM21B,C,g,38,42
185,VM21B,C,k,40,38
186,VM21B,C,k,41,33
187,VM21B,C,k,42,29
188,VM21B,C,gw,43,21
189,VM21B,C,k,46,29
190,VM21B,C,k,48,17
191,VM21B,C,g,52,21
192,VM21B,C,gw,53,103
193,VM21B,C,k,54,33
194,VM21B,C,g,55,13
195,VM21B,C,gw,56,30
196,VM21B,C,g,57,32
197,VM21B,C,g,58,15
198,VM21B,C,g,59,27
199,VM21B,C,g,61,10
200,VM21B,C,k,62,37
201,VM21B,C,g,63,22
202,VM21B,C,gw,64,31
203,VM21B,C,g,65,21
204,VM21B,C,g,68,22
205,VM21B,C,g,104,53
