"x"
91
67
88
65
93
80
81
87
74
51
72
82
115
63
99
100
64
67
84
84
113
57
108
96
34
58
79
81
74
17
50
89
102
56
90
56
66
54
78
58
74
101
80
69
57
65
55
65
41
28
54
52
73
63
63
83
89
90
107
80
65
41
71
78
69
59
65
72
60
87
61
97
64
48
67
107
13
48
89
93
21
80
114
95
99
95
63
84
47
23
57
41
84
86
87
74
76
77
64
72
47
67
40
72
44
114
85
110
25
37
74
87
29
47
58
103
72
73
74
23
52
64
51
47
71
27
57
108
53
42
50
98
61
62
82
67
87
74
101
66
51
43
84
35
51
17
30
28
45
68
89
103
73
108
81
72
55
80
93
52
74
75
82
67
73
61
73
100
47
87
75
28
96
71
66
35
85
53
60
96
31
59
44
37
94
101
87
87
66
109
62
77
63
62
27
12
67
63
79
32
53
44
75
69
12
87
83
98
57
51
59
41
56
84
61
100
31
51
71
51
68
46
77
83
34
76
63
60
73
75
75
108
98
86
58
70
85
49
58
45
70
105
70
85
68
39
93
67
75
82
45
74
87
107
52
92
71
66
52
62
73
50
60
102
106
108
75
60
51
54
49
71
89
78
54
47
52
90
32
45
77
45
82
61
31
40
61
19
27
112
108
51
65
83
62
45
68
69
55
91
45
71
61
74
59
86
58
47
51
56
71
97
56
88
100
77
80
90
104
46
69
81
93
40
81
95
49
43
42
63
82
76
40
102
58
74
45
59
74
92
90
54
14
74
114
62
86
34
62
98
98
66
87
40
50
97
77
72
97
61
81
68
91
16
47
52
81
63
59
45
71
58
60
84
106
63
91
63
69
93
88
67
97
43
23
22
58
14
56
47
46
83
90
34
38
20
56
33
58
71
57
11
21
51
46
93
52
65
59
36
75
91
59
59
97
50
73
56
61
82
78
91
80
75
45
69
72
49
44
48
90
88
68
68
67
76
53
66
64
39
68
50
71
53
49
59
30
66
62
66
68
55
48
36
65
88
49
23
39
53
59
55
38
48
50
55
105
112
27
97
86
35
68
40
71
53
55
70
51
53
34
109
68
23
93
77
73
38
80
74
45
40
71
65
47
45
27
38
43
34
25
113
30
24
57
85
40
41
57
59
49
61
19
39
59
66
26
42
70
45
34
57
56
24
72
60
15
29
59
101
11
54
66
55
33
68
23
31
100
31
72
64
61
19
53
38
85
47
29
28
78
54
45
21
67
41
49
40
47
28
47
43
40
38
76
44
76
19
51
37
41
38
33
46
89
54
28
89
54
32
61
50
56
77
47
61
33
55
43
55
47
17
54
64
26
53
82
52
68
58
70
17
56
61
70
26
52
57
53
15
43
47
50
55
55
45
30
36
68
64
59
60
40
80
46
47
64
13
19
38
90
60
43
60
32
58
43
50
49
39
39
56
47
80
96
53
35
57
37
69
88
55
72
60
42
53
68
42
51
63
76
32
42
63
12
55
47
27
45
39
46
58
30
71
45
14
33
29
49
52
66
105
12
47
69
42
58
41
51
45
93
37
30
60
39
32
28
69
33
46
45
37
68
31
45
72
53
95
78
60
106
59
32
38
56
45
55
63
84
101
50
61
55
54
90
64
48
87
66
56
112
46
91
108
75
52
77
57
69
56
48
45
68
43
76
65
100
44
68
62
48
92
32
54
30
38
32
38
36
30
21
27
68
35
65
39
38
32
18
28
80
42
50
44
33
49
62
55
48
32
63
46
31
110
40
88
65
75
116
91
101
32
57
58
28
116
41
64
49
44
83
73
69
59
56
66
69
86
94
67
68
66
81
83
55
