filename, type, duration(msec)
VF19D/VF19D_C/VF19D_C_clip(109).wav,POS_VOT,5
VF19D/VF19D_C/VF19D_C_clip(92).wav,POS_VOT,19
VF19D/VF19D_C/VF19D_C_clip(20).wav,NEG_VOT,74
VF19D/VF19D_C/VF19D_C_clip(53).wav,POS_VOT,5
VF19D/VF19D_C/VF19D_C_clip(60).wav,POS_VOT,14
VF19D/VF19D_C/VF19D_C_clip(62).wav,POS_VOT,41
VF19D/VF19D_C/VF19D_C_clip(73).wav,POS_VOT,5
VF19D/VF19D_C/VF19D_C_clip(84).wav,POS_VOT,31
VF19D/VF19D_C/VF19D_C_clip(68).wav,POS_VOT,13
VF19D/VF19D_C/VF19D_C_clip(55).wav,POS_VOT,95
VF19D/VF19D_C/VF19D_C_clip(36).wav,POS_VOT,5
VF19D/VF19D_C/VF19D_C_clip(71).wav,NEG_VOT,8
VF19D/VF19D_C/VF19D_C_clip(54).wav,POS_VOT,20
VF19D/VF19D_C/VF19D_C_clip(47).wav,NEG_VOT,141
VF19D/VF19D_C/VF19D_C_clip(45).wav,POS_VOT,24
VF19D/VF19D_C/VF19D_C_clip(118).wav,POS_VOT,54
VF19D/VF19D_C/VF19D_C_clip(64).wav,NEG_VOT,131
VF19D/VF19D_C/VF19D_C_clip(88).wav,POS_VOT,36
VF19D/VF19D_C/VF19D_C_clip(80).wav,POS_VOT,5
VF19D/VF19D_C/VF19D_C_clip(21).wav,POS_VOT,21
VF19D/VF19D_C/VF19D_C_clip(123).wav,NEG_VOT,36
VF19D/VF19D_C/VF19D_C_clip(56).wav,NEG_VOT,63
VF19D/VF19D_C/VF19D_C_clip(57).wav,POS_VOT,5
VF19D/VF19D_C/VF19D_C_clip(25).wav,POS_VOT,5
VF19D/VF19D_C/VF19D_C_clip(48).wav,POS_VOT,129
VF19D/VF19D_C/VF19D_C_clip(37).wav,POS_VOT,19
VF19D/VF19D_C/VF19D_C_clip(110).wav,POS_VOT,37
VF19D/VF19D_C/VF19D_C_clip(85).wav,POS_VOT,35
VF19D/VF19D_C/VF19D_C_clip(72).wav,POS_VOT,5
VF19D/VF19D_C/VF19D_C_clip(99).wav,POS_VOT,20
VF19D/VF19D_C/VF19D_C_clip(41).wav,POS_VOT,114
VF19D/VF19D_C/VF19D_C_clip(63).wav,POS_VOT,37
VF19D/VF19D_C/VF19D_C_clip(32).wav,POS_VOT,25
VF19D/VF19D_C/VF19D_C_clip(74).wav,POS_VOT,23
VF19D/VF19D_C/VF19D_C_clip(13).wav,POS_VOT,29
VF19D/VF19D_C/VF19D_C_clip(86).wav,POS_VOT,19
VF19D/VF19D_C/VF19D_C_clip(102).wav,POS_VOT,38
VF19D/VF19D_C/VF19D_C_clip(106).wav,POS_VOT,25
VF19D/VF19D_E/VF19D_E_clip(100).wav,POS_VOT,40
VF19D/VF19D_E/VF19D_E_clip(38).wav,POS_VOT,31
VF19D/VF19D_E/VF19D_E_clip(65).wav,POS_VOT,29
VF19D/VF19D_E/VF19D_E_clip(36).wav,POS_VOT,68
VF19D/VF19D_E/VF19D_E_clip(121).wav,POS_VOT,73
VF19D/VF19D_E/VF19D_E_clip(63).wav,POS_VOT,52
VF19D/VF19D_E/VF19D_E_clip(70).wav,POS_VOT,41
VF19D/VF19D_E/VF19D_E_clip(91).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(84).wav,POS_VOT,43
VF19D/VF19D_E/VF19D_E_clip(6).wav,POS_VOT,19
VF19D/VF19D_E/VF19D_E_clip(114).wav,POS_VOT,107
VF19D/VF19D_E/VF19D_E_clip(43).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(106).wav,POS_VOT,64
VF19D/VF19D_E/VF19D_E_clip(73).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(48).wav,POS_VOT,30
VF19D/VF19D_E/VF19D_E_clip(124).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(93).wav,NEG_VOT,17
VF19D/VF19D_E/VF19D_E_clip(31).wav,POS_VOT,31
VF19D/VF19D_E/VF19D_E_clip(26).wav,POS_VOT,69
VF19D/VF19D_E/VF19D_E_clip(3).wav,POS_VOT,138
VF19D/VF19D_E/VF19D_E_clip(50).wav,POS_VOT,84
VF19D/VF19D_E/VF19D_E_clip(64).wav,NEG_VOT,44
VF19D/VF19D_E/VF19D_E_clip(19).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(75).wav,POS_VOT,37
VF19D/VF19D_E/VF19D_E_clip(16).wav,POS_VOT,106
VF19D/VF19D_E/VF19D_E_clip(120).wav,POS_VOT,39
VF19D/VF19D_E/VF19D_E_clip(86).wav,POS_VOT,182
VF19D/VF19D_E/VF19D_E_clip(88).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(30).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(9).wav,POS_VOT,96
VF19D/VF19D_E/VF19D_E_clip(40).wav,POS_VOT,19
VF19D/VF19D_E/VF19D_E_clip(125).wav,POS_VOT,75
VF19D/VF19D_E/VF19D_E_clip(115).wav,POS_VOT,20
VF19D/VF19D_E/VF19D_E_clip(15).wav,POS_VOT,6
VF19D/VF19D_E/VF19D_E_clip(110).wav,POS_VOT,46
VF19D/VF19D_E/VF19D_E_clip(39).wav,POS_VOT,84
VF19D/VF19D_E/VF19D_E_clip(128).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(49).wav,POS_VOT,91
VF19D/VF19D_E/VF19D_E_clip(35).wav,POS_VOT,76
VF19D/VF19D_E/VF19D_E_clip(129).wav,POS_VOT,18
VF19D/VF19D_E/VF19D_E_clip(77).wav,POS_VOT,45
VF19D/VF19D_E/VF19D_E_clip(32).wav,POS_VOT,38
VF19D/VF19D_E/VF19D_E_clip(111).wav,POS_VOT,11
VF19D/VF19D_E/VF19D_E_clip(80).wav,POS_VOT,43
VF19D/VF19D_E/VF19D_E_clip(94).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(112).wav,POS_VOT,75
VF19D/VF19D_E/VF19D_E_clip(102).wav,POS_VOT,24
VF19D/VF19D_E/VF19D_E_clip(57).wav,POS_VOT,63
VF19D/VF19D_E/VF19D_E_clip(107).wav,POS_VOT,42
VF19D/VF19D_E/VF19D_E_clip(87).wav,POS_VOT,36
VF19D/VF19D_E/VF19D_E_clip(116).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(99).wav,POS_VOT,23
VF19D/VF19D_E/VF19D_E_clip(90).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(1).wav,POS_VOT,107
VF19D/VF19D_E/VF19D_E_clip(127).wav,POS_VOT,93
VF19D/VF19D_E/VF19D_E_clip(22).wav,POS_VOT,26
VF19D/VF19D_E/VF19D_E_clip(37).wav,POS_VOT,48
VF19D/VF19D_E/VF19D_E_clip(55).wav,POS_VOT,18
VF19D/VF19D_E/VF19D_E_clip(53).wav,POS_VOT,60
VF19D/VF19D_E/VF19D_E_clip(5).wav,POS_VOT,53
VF19D/VF19D_E/VF19D_E_clip(34).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(79).wav,POS_VOT,70
VF19D/VF19D_E/VF19D_E_clip(67).wav,POS_VOT,36
VF19D/VF19D_E/VF19D_E_clip(10).wav,POS_VOT,50
VF19D/VF19D_E/VF19D_E_clip(105).wav,POS_VOT,24
VF19D/VF19D_E/VF19D_E_clip(71).wav,POS_VOT,129
VF19D/VF19D_E/VF19D_E_clip(56).wav,POS_VOT,87
VF19D/VF19D_E/VF19D_E_clip(89).wav,POS_VOT,17
VF19D/VF19D_E/VF19D_E_clip(20).wav,POS_VOT,95
VF19D/VF19D_E/VF19D_E_clip(85).wav,POS_VOT,16
VF19D/VF19D_E/VF19D_E_clip(45).wav,NEG_VOT,37
VF19D/VF19D_E/VF19D_E_clip(69).wav,POS_VOT,41
VF19D/VF19D_E/VF19D_E_clip(104).wav,NEG_VOT,117
VF19D/VF19D_E/VF19D_E_clip(12).wav,POS_VOT,73
VF19D/VF19D_E/VF19D_E_clip(18).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(59).wav,POS_VOT,65
VF19D/VF19D_E/VF19D_E_clip(113).wav,POS_VOT,75
VF19D/VF19D_E/VF19D_E_clip(119).wav,POS_VOT,68
VF19D/VF19D_E/VF19D_E_clip(27).wav,NEG_VOT,35
VF19D/VF19D_E/VF19D_E_clip(2).wav,POS_VOT,14
VF19D/VF19D_E/VF19D_E_clip(47).wav,POS_VOT,24
VF19D/VF19D_E/VF19D_E_clip(118).wav,POS_VOT,53
VF19D/VF19D_E/VF19D_E_clip(72).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(108).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(126).wav,POS_VOT,91
VF19D/VF19D_E/VF19D_E_clip(62).wav,POS_VOT,22
VF19D/VF19D_E/VF19D_E_clip(82).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(28).wav,NEG_VOT,77
VF19D/VF19D_E/VF19D_E_clip(24).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(23).wav,NEG_VOT,6
VF19D/VF19D_E/VF19D_E_clip(8).wav,NEG_VOT,18
VF19D/VF19D_E/VF19D_E_clip(25).wav,POS_VOT,61
VF19D/VF19D_E/VF19D_E_clip(4).wav,POS_VOT,24
VF19D/VF19D_E/VF19D_E_clip(81).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(51).wav,POS_VOT,39
VF19D/VF19D_E/VF19D_E_clip(13).wav,POS_VOT,60
VF19D/VF19D_E/VF19D_E_clip(103).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(29).wav,POS_VOT,5
VF19D/VF19D_E/VF19D_E_clip(109).wav,POS_VOT,96
